Text,DocType
dyncorp international di fourth annual walk day challenge brought nearly double team last year top team trek win wednesday april day speed walk glory despite incoming afghanistan participant scrap time walk busy mission fill day di hold international walk day challenge remind employee importance take walk di walker texas virginia california alabama egypt india qatar afghanistan eagerly anticipate team result congratulation walk challenge winner unstoppables di business service bangalore india thank participant check dis walk day challenge flickr page look picture walker,Public
february dyncorp international rob tillery senior vice president operation join logcap team task order national training center fort irwin california presentation check national training center sergeant audie murphy club samc sergeant audie murphy club private u army organization enlist non commission officer dyncorp international chosen graciously sponsor induction ceremony new member national training center samc rob tillery program manager phil mead leadership sat local din facility enjoy meal present sponsorship check president samc sgjones left right garrison csm edward sg jones unk rob tillery msg wei sgm bowman left right sg jones rob tillery,Public
three service milestone reach recently na patuxent river maryland dyncorp international di program service aircraft u navy celebrate year service steve long walter muenzel celebrate year service ethrage duck haggard di service u navy pax river continuously since say randy hughes program manager steve walter duck played significant role dis continued success pax contribute long legacy provide unmatched dedicate service navy customer standout example serve today well tomorrow combine day service steve long begin career dynalectron dis predecessor company u naval test pilot school tps na patuxent river steve start maintain aircraft since work u nu b x aircraft steve currently subject matter expert nu b u aircraft influential training next generation aircraft mechanic support school unique national asset steve hold faa airframe power plant p license receive multiple letter appreciation work include one naval air test evaluation museum pax river another commander u naval test pilot school serve year tenure tps walter frank muenzel begin career dynalectron u navy tps aircraft mechanic serve four year united state marine corp usmc marine frank work f j aircraft reach rank corporal early frank transfer ground support equipment shop maintains many different type aviation support equipment tps naval air test evaluation museum pax river commend letter appreciation serve year tenure tps frank family history service nation born germany father station u air force brother retire usmc married wife evelyn year two daughter son ethrage duck haggard hold distinction long current continued service within company reach year milestone di service duck start employment contract field team aircraft mechanic march shaw afb south carolina perform aircraft maintenance service honolulu hawaii elmendorf alaska take position patuxent river many aircraft duck maintain pax river currently retire honorably displayed pax naval air museum currently serve business manager naval test wing atlantic program duck enjoys spending time grandson fishing hunt congratulation big thank behalf appreciative company say joe ford dynaviation president three gentleman reach epic extraordinary milestone year service,Public
clifford ruggles program manager dyncorp international di phoenix consult group recently travel afghanistan provide counter elicitation training dis afghanistan national army ana afghanistan national police anp afghanistan life support service ali program kabul former u army interrogator strategic debriefer phoenix consult group since mr ruggles focus training primarily teach technique recognize counter information gathering attempt potential competitor adversary anyone else seek gain insight dis operation due fact di employee afghanistan routinely work alongside competitor interact daily people dozen country potential unknowingly disseminate sensitive company information high say ruggles ali food service operation manager robert peter note thought class informative requirement contract especially overseas numerous opportunity employee inadvertently pas along proprietary information community people friendly one another one person may think friendly conversation another person may try use conversation elicit extract information company use proposal excellent class cliff ruggles excellent instructor tell long time show delivery presentation knowledge chart comment curtis blas ana anp director security operation although focus training event primarily counter elicitation phoenix consult group conduct wide variety training course asadvanced crisis negotiation business intelligence strategic debrief law enforcement source cognitive interview others add ruggles description phoenix course offering found online brochure information request training phoenix consult group program office contact phoenixconsulting dyn intl com,Public
october dyncorp international di sponsor national training center high desert chapter association united state army ausa rd annual golf tournament second year row along one large corporate sponsor di five four person team include first place team win team john pace technical inspector heavy wheel patrick pring welder heavy wheel rene moreno tactical vehicle mechanic hmmwv leo duarte maintenance supervisor track decide donate winning national training center sergeant audie murphy club samc follow donation samc inductee sr operation manager carl curtice along sr logistics manager jessie bates arrange di sponsor future samc inductee ceremony,Public
october dyncorp international di participate association united state army ausa annual meeting exposition large land power exposition professional development forum north america walter e washington convention center washington c attendee include senior defense department official military personnel industry executive participate event di one exhibitor invite attend learn company offering di executive maintain busy schedule networking fellow industry leader meeting customer gain knowledge army need throughout three day tradeshow george krivo dyncorp international chief executive officer personally host numerous senior level customer industry engagement met reporter defense one aviation week defense news share update di defense service industry interview address dis rebound new contract win defense budget readiness shortfall industry consolidation sale rumor george krivo also met bonnie carroll president founder tap present check recently raise di charity golf fundraiser texas september tap support many di survivor family di become first private company form official partnership tap provide support family fall di personnel photo ausa found flickr ausa ausa annual meeting exposition theme year ready today lethal tomorrow annual meeting help tell army story delivers key message worldwide audience exhibitor display innovative system product service give army incredible capability ausa since ausa work support national security advance interest america army men woman serve ausa private non profit educational organization support u army include active duty guard reserve civilian retiree family member,Public
dca live organization cover industry company people drive growth washington c region recognize dyncorp international di virginia robinson th annual dca live top corporate counsel event september partnership association corporate counsel national capital region dca live recognize interest dynamic house attorney washington c region virginia robinson chief counsel labor employment environmental health safety di attorney di legal department six year work di virginia hone skill top law firm country graduate penn state b english obtain law degree washington lee university school law brief interview dca live virginia discuss experience work house dyncorp international dca live summer vacation spot virginia italy venice padua florence rome dca live best part house virginia cultivate deeper understand client ability collaborate colleague client without billing pressure dca live big house trend issue law firm friend colleague know virginia important keep mind corporate client goal need stagnant change time sometimes quite quickly base wide variety constantly shift internal external pressure make sure ask client current issue face might influence handle otherwise seemingly unrelated matter dca live advice asoon graduate law school student virginia law firm job important way learn strong customer service skill start career private practice good idea keep eye house opportunity get senior career find work challenge reward,Public
april u embassy kabul recognize worldwide winner green council green diplomacy initiative gdi award recycle effort critical threat environment dyncorp international currently provide waste management service task order afghanistan life support service ali program lead recycle effort embassy annual gdi award recognize post office innovate reduce environmental footprint award present embassy kabul remain commit reduce environmental footprint despite face constant critical threat security environment limited infrastructure embassy recycle program recycle pound waste local partner turn recycle material item plastic furniture toilet paper dish partnership expands private sector lead economic growth provide employment alternative risk radicalization violent extremist message post also launch campaign discourage use bottle water emphasize compound water potable post green team ali program issue water bottle filter embassy personnel help reduce bottle water usage green diplomacy initiative green diplomacy initiative gdi launch april capture disseminate grassroots sustainability effort u department state gdi umbrella term action undertaken personnel post office bureau improve environmental performance sustainability department state world wide facility operation gdi support eco diplomacy unit within innovation directorate work strengthen disseminate tool policy aim increase operational efficiency reduce department environmental footprint operational cost department state chief sustainability officer cso provide strategic direction oversight effort gdi,Public
dyncorp international di recently nominate one small business partner da defense logistics u small business administration sba small business subcontractor year award da defense advance finalist washington c subcontractor recognize sba el paso district office small business subcontractor year th annual small business week award ceremony luncheon held el paso texas da defense solid small business partner di since say debbie newberry di small business senior manager support many dynlogistics contract first ft bliss texas wrm ii yorktown virginia eagle ft campbell kentucky t tacom multiple u location logcap fort irwin california di submit da defense nomination recently celebrate sba national small business week event recognize nation top small business entrepreneur april may da defense self lead organization provide truly seamless support every day say stephen blake eagle program manager prime contractor would proud team el paso small business week award ceremony attend dis debbie newberry afcap iv program manager timothy gahr addition el pasos small business subcontractor year award da defense president david granado present certificate special congressional recognition congressman beto orourke congratulate da defense say billy harlin di supply chain senior director deserve recognition small business subcontractor year,Public
dyncorp international di support afghanistan life support service ali program run waste management recycle program representative recently visit seven usaid location around afghanistan show program accomplish audience learn eye opening presentation u embassy kabul make effort reduce waste recycle plastic bottle aluminum can cardboard make household product locally di manages recycle initiative waste management subcontractor afghanistan recycle thousand pound plastic cardboard aluminum trash embassy sent recycle center worker sort separate recyclables plastic shred small fragment aluminum can compress dense bale cardboard press manageable size material sent vendor turn thing like mold plastic furniture toilet paper addition regular recycle di also partner another company dispose food waste generate kitchen operation e g preparation leftover etc along shred paper,Public
april dyncorp international di held annual international walk day challenge di team race take step designate nine hour period everyone push win di hold challenge remind employee importance take walk walker texas virginia california egypt afghanistan marshal island eagerly anticipate team result congratulation walk challenge winner ammo dawgs kandahar afghanistan thank participant check dis walk day challenge flickr page look picture walker,Public
april dyncorp international mclean virginia office host pack party local uso chapter put together snack pack troop pack troop opportunity group support service men woman team step task three assembly line colleague fill ziploc bag full snack item another area colleague pack bag box teamwork camaraderie make service project fun activity office view uso metro video explain program click photo dyncorp international pack party found flickr page,Public
recently dyncorp international di ceo george krivo spent day visit cal fire program mcclellan california mr krivo want see di maintenance technician maintain cal fire fleet aircraft also show complete project x aircraft pre paint tanker summer aircraft rescue navy boneyard strip bare metal modify kit instal include new wire harness new turbine engine retardant tank addition center fuselage say jeff cavarra cal fire director greatly appreciate take time come tour operation site george held informal hand meeting talk relevant company information answer question program busy conduct ground flight school training maintenance technician perform annual maintenance three cal fire aircraft type ov uh h cal fire program complex extraordinary effort say ceo george krivo aircraft expect truly impressive outstanding important work maintain aircraft execute critical lifesaving operation,Public
word author stephen king sooner later everything old new january tanker make maiden flight month work dyncorp international di mechanic cal fire program sacramento california aircraft flew first time since retire u navy di open first work order aircraft march project dubbed project x conceptual phase take aircraft barebones airframe rebuilt say jeff cavarra cal fire program director di employee perform work aircraft assist various vendor provide engineering logistical support specialized service rebuilt aircraft include new wiring structural improvement modification removal torpedo bay installation retardant tank refurbish hydraulic system installation stand alone retardant tank hydraulic operating system modify overhaul cockpit layout feature new fuel system available fire season california expect base hollister california faa der flight test pilot perform first flight state uneventful first flight ever remember aircraft flown approximately additional hour prior flown arizona paint success project x testament partnership di cal fire continued cavarra amaze accomplishment employee extraordinary story di,Public
dyncorp international di employee alliance campus fort worth texas raise charity raffle tragedy assistance program survivor tap wound warrior project di corporate match amount raise total winner receive four roundtrip u domestic airline ticket voucher draw held alliance holiday party employee texas motor speedway club friday december want support great cause foster opportunity give back celebrate good year di say jennifer gallegos grumble senior security manager holiday planning committee member tap support many di family since di first private company form official partnership tap provide support family fall di personnel wound warrior project offer variety program service event wound veteran active duty service member view dis flickr album see picture alliance holiday party,Public
congratulation team dyncorp international raise benefit american heart association aha course year di team participate local heart walk tarrant county texas melbourne florida fort hood texas dyncorp international di team around world participate event fundraiser include walk day challenge countless lunch breakfast sale di host charity golf tournament texas raise total di team raise donation fundraise effort congratulation dis top team,Public
recent spate northern california fire dyncorp international di pilot state california aerial firefighting program flew hour seven day october october pilot ramp extraordinarily quickly say jeff cavarra dis program director cal fire october th alone flight hour reach less hour period perform professional manner relatively quiet period prior firestorm really showcase skill ability pilot cal fire agency include state own air tanker contract air tanker pumped gallon fire retardant two week period one di pilot even make drop fire one seven hour period operating aircraft single pilot configuration much demand dual crewed addition flight hour million gallon retardant cal fire maintenance technician kept aircraft run typical fire bust one two air attack base become focal point many aircraft make trip fire recent wildfire engender different scenario least five air attack base operating numerous aircraft maintenance technician put long hour base make certain aircraft safe fly dis cal fire crew mcclellan afb support base additional mechanic aircraft part dispatch several mechanic area fire actively burning like santa rosa chico say jeff cavarra check road open allow get base mechanic go base know may sleep floor local lodge fill evacuee usual honor call people co worker continued jeff perform flawlessly spite overwhelm odds face mother nature,Public
delegation dyncorp international di leader include chief executive officer george krivo senior vice president business development joe ford aolc vice president scott rauer dynlogistics vice president randy bockenstedt many others represent di association united state army ausa annual meeting expo washington c october october annual event held walter e washington convention center large prestigious ausa meeting provide di leader opportunity meet many important customer u army many important stakeholder great show say ceo george krivo pleased host senior army leadership key customer business partner booth discus business opportunity prominent engagement include congressman joe wilson deputy commander army material command lieutenant general edward daly director defense security cooperation agency lieutenant general charles hooper command general army contract command major general james simpson command general army sustainment command major general duane gamble deputy assistant secretary defense program support mr gary motsek many others team great job conclude svp joe ford significant undertaking prepare platform organize agenda execute meaningful engagement team bring game event success check ausa flickr album picture event,Public
long work current employer even previous employer hard surpass year award give dyncorp international di employee last month root currently modification work order mwo road team lead regional aviation support management west rasm w army field maintenance afm program fort hood texas receive service award last month year employment dyncorp international attendance dianne walker svp hr billy bubba white afm director merle woosley rasm w afm program manager shawn dooley afm fort hood operation manager marcus rodriguez afm fort hood mwo manager keith hanson afm fort hood site manager start di around time back dynalectron fort campbell fort hood say merle woosley rasm w afm program manager finally met around year later come texas deputy site manager take site manager less year later worn several hat support rasm w outstanding professional performs serve location di various capacity include limited program manager kadena contract field team cft program japan aircraft technician korea many year fort campbell kentucky position germany saudi arabia selfridge air national guard base michigan avid participant road buggy boat building anything involve power vehicle speed always one veteran admire business inspiration u grow within company say bubbawhite afm director many year numerous evolution dyncorp international root unwavering constant say dianne walker hr senior vice president continuous level commitment dedication demonstrate leadership role help contribute success company enjoys today absolute pleasure work look forward work together year ahead,Public
last week ceo george krivo present four chairman award dyncorp international di employee recognition exceptional personal performance result award u army transport contractor logistics support service contract di total program value million excite present award deserve recipient say george krivo grow business keep win new contract look forward present future di chairman award recognize help achieve goal reflect di star meet commitment grow business improve process develop leadership satisfy customer live value di reward recognizes go beyond operate one team one mission help achieve company goal join u congratulate winner thank contribution help make u strong company william billy harlin director supply chain johnny jr long senior director contract robert bob deter pricing analyst principal randall randy dotson senior director capture management,Public
dyncorp international patrick support division psd patrick air force base held food drive june support local food pantry south brevard share center sbsc melbourne florida local site collect food cash donation overseas employee donate money online due partnership second harvest food bank sbsc able purchase worth food every donation cash donation total translate worth food two huge car load can good non perishable item also donate volunteer center comment company like dyncorp international stay business dyncorp international receive hearty thank sbscs facebook page great event give back family community surround psd site florida summertime need great food pantry see huge increase demand child school please consider make donation local food pantry hold food drive community photo food drive found dyncorp international flickr album,Public
today dyncorp international announce george krivo take role chief executive officer effective immediately copy internal company announcement may heard name chief executive officer dyncorp international di effective immediately honor step new role nine year di look forward lead company current path continued growth operational excellence monday host internal conference call discus goal di move forward first want thank lou von thaer leadership last two year timeframe company return growth recruit serve ceo battelle billion charitable trust storied history innovation technology advance opportunity take back technology engineering root wish well take next step career need thank well recent success happen coincidence work hard ensure satisfaction customer identify secure important business development opportunity look current initiative something proud business development team win cpars validate dis operational excellence profit consistently improve program productivity success show thing right ceo plan continue path hope able join call monday detail sent separate announcement respectfully george krivo ceo,Public
dyncorp international di earn federal aviation administration faa diamond award excellence recognition commitment aviation maintenance training honor four program maintenance technician continue legacy commitment improvement comment craig oneal program director andrew support division honor lead vipsam team earn award fourteenth year award testimony exceptional maintenance perform cal fire aircraft di team member say jeffrey cavarra cal fire di program director chief ken pimlott cal fire director add proud hard work commitment aviation management staff dyncorp international mechanic every day maintain large wildland air fleet world award win safety maintenance program great achievement earn diamond award five year row say david meyers program senior director proud team focus fleet readiness continuous process improvement excite among dis diamond award recipient second year say tamara skjegstad firewatch program manager maintenance technician work hard meet commitment faa aviation maintenance technician amt award program base commitment maintenance technician improve safety actively participate initial recur training program technical knowledge diamond award high corporate award program include individual corporate recognition award recognizes completion percent organization eligible maintenance technician specialized continuous training aircraft system regulation faa rule month period addition diamond award present company mechanic receives aviation maintenance technician award base number training hour log,Public
may afghanistan ministry finance recognize award best large taxpayer large tax office lto inter continental hotel kabul dyncorp international di one thirty company invite attend award ceremony distinguish honor consider register company lto company make twelve percent national revenue overall come multiple business sector include banking construction security communication transportation food non alcoholic beverage government run program aim raise level taxpayer awareness compliance promote positive taxpaying culture achieve revenue target encourage investment develop economic activity within afghanistan ceremony h e shafiq ahmad qarizada deputy minister revenue custom say ministry finance plan raise level taxpayer compliance launch today program effort encourage large taxpayer show compliance taxpayer h e qarizada also state expect sound competition create among large taxpayer come year recognize best taxpayer hope lead development standardize economic activity country lto award ceremony attend deputy minister director government institution representative national assembly representative office president ambassador official large company dis ken fox sayed shajjan also attendance,Public
may kathmandu nepal may bangalore india dyncorp international di ceo lou von thaer delegation di senior executive present chairman purple star award seven employee injured line duty family four teammate make ultimate sacrifice service chairman purple star award high honor dyncorp international bestow member di team award read recognition selfless meritorious service create honor make extraordinary sacrifice serve customer around world medal reflect core value company serve care empower perform right thing kathmandu chairman purple star award rajkumar chhetri meg gurung sudhir limboo bashu dev ranabhat bipeen simkhada three purple star award present posthumously family anil gurung hit bahadur gurung ganga bahadur limbu also speak honor service nepali awardees u ambassador nepal alaina teplitz honorable suryaman gurung minister labor employment federal democratic republic nepal bangalore chairman purple star award anilkumar bhaskaran sasidharan nair two additional purple star award present posthumously family ponnappan kuttappan raveendran parambath addition dis leader indian ceremony include presentation deborah robinson consul general u consulate chennai india republic india major general k nijjar general officer command karnataka kerala sub area bangalore mike warren dis employee assistance program vice president note many tear ceremony tear later combine smile family appreciate display care concern recognize di truly value service sacrifice awardees men honor hero lucky member family miss longer u conclude lou von thaer view photograph nepal india purple star ceremony album dis flickr page,Public
international stability operation association isoa award dyncorp international di vanguard award large company isoas achievement award ceremony june isoa vanguard award recognize small medium large company stability operation industry consistently demonstrate commitment accountability transparency ethic stability operation field independent panel select di vanguard award base work stability operation example performance capacity building humanitarian operation history transparency ethical conduct respect human right receive award di ceo lou von thaer say proud accept award represent value employee work achieve every day around world employee work hard often tough place want recognize superb performance give honor accept award behalf di member isoa since association award dis imbrie lifetime achievement award contribution organization member board chairman general john campbell ret keynote speaker event government achievement award give gary motsek cathy read lifetime achievement award give doug brook imbrie di among company receive corporate achievement award isoa trade association company nongovernmental organization provide critical service fragile country worldwide promotes ethical standard isoa code conduct build key partnership private sector u government advocate private sector service contingency environment facilitate business development opportunity member photo event found dis flickr album,Public
saturday april dyncorp international di representative doug eller lowell green set tent fort rucker th annual childrens festival alabama di event sponsor event open fort rucker community local military family member attendance free event offer game craft inflatables karaoke easter egg hunt eller green met fort rucker family festival hand set crayon color page child also spoke adult answer many question adult interest company positive photo event found dis flickr album di proud support soldier military family,Public
national walk day april dyncorp international di team compete win title step day host shoe trophy year award company lead american heart association great washington region heart walk team log step day nine hour period take photo share last year winner logcap iv team step year every team vied beat number communication department get healthy competitive chatter go team day lead walk tillerys team go say mark mirelez aels bu lead comb vipsam errc know stomp logcaps record get shoe trophy gon na walk logistics aels say scott rauer aolc lead rasm tasm inl air wing team accept defeat dianne walker vice president hr chime hr center excellence coe clearing prime spot display shelf shoe trophy expect host soon everyone push win day fierce competition win lose inl air wing team great time contribute say joe dunaway air wing lead lot good fun especially walk bubbas team thousand step total location around world aolc put stun performance thousand step rasm tasm afm cft combine say scott rauer aolc lead thats include inl air wing insane count total k team aels fight falcon secure incredible count thousand step say mark mirelez aels lead blast hopefully one awesome team secure shoe trophy oh amateur say rob tillery lg lead team walk kandahar airfield fob shorab fob dwyer alliance texas logcap total thousand step di team range one person tracked step day team every minute spot fill result look like corporate snuck surprise win say ceo lou von thaer fantastic triumph truly amaze amount participation around globe rain snow sleet shine great see u come together company something fun healthy interactive everyone continued lou look forward healthy challenge throughout year communication deliver shoe trophy win team take victory picture check dis national walk day challenge flickr page look picture walker,Public
