Text,DocType
promote secure g act,Public
veteran access act,Public
connect america active transportation system act,Public
offshore accountability act,Public
endanger specie transparency reasonableness act,Public
primary health service enhancement act,Public
direct secretary transportation issue regulation modify gross combination weight rating vehicle cover group b purpose,Public
insulin affordability data collection act,Public
fair act,Public
every veteran count act,Public
reduce administrative cost burden health care act,Public
emergency supplemental appropriation disaster relief puerto rico disaster tax relief act,Public
amend richard b russell national school lunch act require school food authority negative balance nonprofit school food service account june th year precede previous school year shall require establish price paid lunch,Public
secure american leadership science technology act,Public
chesapeake bay science education ecosystem enhancement act,Public
life act,Public
care veteran act,Public
protect community hospital closure act,Public
cybersecurity vulnerability identification notification act,Public
cisa director reform act,Public
privacy office enhancement act,Public
fair credit reporting servicemembers act,Public
retirement plan modernization act,Public
safeguard american private record act,Public
mobile workforce state income tax simplification act,Public
gros ventre assiniboine tribe fort belknap indian community water right settlement act,Public
commission sustain medicare social security act,Public
merchant mariner world war ii congressional gold medal act,Public
transportation security transparency improvement act,Public
secure small business act,Public
modern label act,Public
safe community act,Public
national aeronautics space administration authorization act,Public
relief maria rise versace,Public
lift act,Public
safeguard therapeutic act,Public
pregnant woman health safety act,Public
prohibit share united state intelligence country permit operation huawei fifth generation telecommunication technology within border,Public
amend title united state code ensure state receives aggregate apportionment equal least percent estimate tax payment attributable certain highway user state purpose,Public
protect community television act,Public
crime victim right act,Public
religious insignia dog tag act,Public
work family flexibility act,Public
nonprofit security expansion act,Public
expand medical education act,Public
green federal fleet act,Public
estate tax rate reduction act,Public
adoption information act,Public
federal energy water management performance act,Public
consumer access grid information act,Public
treat ptsd act,Public
campus fire safety education act,Public
bring hero home act,Public
eye court act,Public
construction consensus procurement improvement act,Public
corporation modernization act,Public
active transportation public land act,Public
incentivizing value capture greener transportation act,Public
data mapping save mom life act,Public
chuck osier burial benefit act,Public
american sovereignty specie protection act,Public
michael lecik military firefighter protection act,Public
transparency energy production act,Public
virtual currency tax fairness act,Public
amend title ii social security act require past due benefit paid prior payment social security representative fee purpose,Public
synthetic opioid danger awareness act,Public
fda accountability public safety act,Public
solution stigma act,Public
document continued safety act,Public
flip act,Public
clean water allotment modernization act,Public
match act,Public
eliminate hhs discrimination division act,Public
target environmental climate recklessness act,Public
relief melnyk ruslana gnatyuk mykhaylo,Public
relief tetyana zvarychuk,Public
relief igor klyuchenko,Public
brenda act,Public
true equity act,Public
suicide prevention act,Public
promote national service reduce unemployment act,Public
taxi medallion loan forgiveness debt relief act,Public
improve safety security veteran act,Public
tree act,Public
affordable homeownership access act,Public
rise act,Public
small business community investment expansion act,Public
protect student athlete concussion act,Public
fair care vietnam veteran act,Public
homelessness emergency declaration act,Public
strand act,Public
school food recovery act,Public
desert national wildlife refuge nevada test training range withdrawal management act,Public
united state israel ptsd collaborative research act,Public
advanced manufacturing job america act,Public
protection woman girl sport act,Public
domestic terrorism prevention act,Public
property right protection act,Public
offshoring notification act,Public
fulfil promise housing trust fund act,Public
boundary water wilderness protection pollution prevention act,Public
designate facility united state postal service locate northwest th street oklahoma city oklahoma clara luper post office building,Public
personalize care act,Public
israel anti boycott act,Public
empowers act,Public
amend title united state code modify definition appalachian region,Public
pump nursing mother act,Public
critical habitat improvement act,Public
korean american valor act,Public
blue carbon planet act,Public
whole act,Public
amend federal food drug cosmetic act respect regulation hemp derive cannabidiol hemp derive cannabidiol contain substance,Public
haiti development accountability institutional transparency initiative act,Public
listing reform act,Public
fresh trucking act,Public
help grandfamilies prevent child abuse act,Public
parental accessibility right emergency negligent treatment act,Public
access counsel act,Public
bring esa st century act,Public
list act,Public
recall unsafe drug act,Public
social security illegal alien act,Public
double dip elimination act,Public
primary behavioral health care access act,Public
preserve small business lending act,Public
protect kid act,Public
family support service addiction act,Public
revamp american infrastructure act,Public
veteran suicide prevention act,Public
early childhood mental health support act,Public
reproductive health information veteran act,Public
medium diversity act,Public
patient fairness act,Public
share information act,Public
enhance broadcaster diversity data act,Public
opportunity fairness farm act,Public
designate facility united state postal service locate east rosedale street fort worth texas dionne phillips bagsby post office building,Public
wire act,Public
amend chapter title united state code clarify certain due process right federal employee serve sensitive position purpose,Public
january th national memorial act,Public
usa electrify forward act,Public
threaten specie protection improvement act,Public
woman veteran trust act,Public
care veteran deserve act,Public
clean federal fleet act,Public
crude rail volatility standard act,Public
migratory bird protection act,Public
ensure child health coverage compensation divorce act,Public
pfas safe disposal act,Public
authorize president award medal honor doris miller posthumously act valor member navy world war ii,Public
fishery failure urgently need disaster declaration act,Public
manufacture housing community preservation act,Public
effective assistance counsel digital era act,Public
exhaust act,Public
american innovation manufacturing leadership act,Public
war iran act,Public
require secretary energy establish grant program state provide incentive natural gas distribution company improvement natural gas distribution system purpose,Public
tribal power act,Public
pfas transparency act,Public
clean water standard pfas act,Public
mandatory spending control accountability act,Public
conan commemorative coin act,Public
legend act,Public
taiwan envoy act,Public
comprehensive immunosuppressive drug coverage kidney transplant patient act,Public
relief yazmin fabiola juarez coyoy,Public
deep fake detection prize competition act,Public
fair housing domestic violence sexual assault survivor act,Public
electric vehicle infrastructure rebate act,Public
social security equity act,Public
cacia act,Public
st century power grid act,Public
territorial representation senate act,Public
pave act,Public
so act,Public
energy sector innovation credit act,Public
post gi bill transferability entitlement act,Public
amend title united state code permit commercial filmmaking photography united state capitol ground purpose,Public
research development tax credit expansion act,Public
atmospheric climate intervention research act,Public
require secretary energy carry clean city coalition program purpose,Public
gandhi king scholarly exchange initiative act,Public
commitment veteran support outreach act,Public
stop tax potential act,Public
community energy saving program act,Public
affordable safe drinking water act,Public
tan tax repeal act,Public
interregional transmission planning improvement act,Public
pava program inclusion act,Public
identify drug cartel terrorist act,Public
transportation megaprojects accountability oversight act,Public
foreign national firearm background check enhancement act,Public
hawaii invasive specie protection act,Public
consortium lead energy advanced manufacturing network act,Public
amend national dam safety program act respect definition eligible high hazard potential dam purpose,Public
commuter parkway safety reliability act,Public
remove federal barrier offering mobile sport wager indian land act,Public
affordable drug manufacturing act,Public
noncontiguous shipping competition act,Public
noncontiguous shipping reasonable rate act,Public
noncontiguous shipping relief act,Public
conditional approval act,Public
iceland act,Public
federal electronic equipment donation act,Public
catastrophe loss mitigation incentive tax parity act,Public
prohibit director united state fish wildlife service award grant entity fund support gross violation internationally recognize human right purpose,Public
repeal military selective service act thereby terminate registration requirement act eliminate civilian local board civilian appeal board similar local agency selective service system,Public
body armor female modernization act,Public
amend section title united state code require annual budget submission president congress provide estimate cost per taxpayer deficit public debt,Public
polar bear conservation fairness act,Public
amend foreign intelligence surveillance act ensure politically derive information use application foreign intelligence surveillance court order title iii act,Public
veteran cemetery grant improvement act,Public
broadband internet small port act,Public
ally act,Public
cola count act,Public
signing language act,Public
prevent act,Public
rural hospital closure relief act,Public
al placebo act,Public
protect american pre exist condition,Public
inventor right act,Public
prohibit secretary veteran affair deny home loan veteran legally work marijuana industry basis nature work purpose,Public
levee act,Public
prospect act,Public
shawnee wilderness designation act,Public
ease behavioral health service act,Public
jimmy carter national historical park redesignation act,Public
amend title united state code clarify eligibility child vietnam veteran born spina bifida benefit department veteran affair,Public
u leadership space act,Public
pursue equity mental health act,Public
border workforce efficiency act,Public
local act,Public
prevention anti immigrant violence act,Public
provide technical financial support completion interstate environmental impact statement purpose,Public
congressional accountability act enhancement act,Public
healthy meal time act,Public
busregs act,Public
provide secretary homeland security may admit united state nonimmigrant certain category alien national noncompliant country purpose,Public
direct board governor federal reserve system revise transfer withdrawal limit respect saving deposit transaction account purpose,Public
rocky mountain national park ownership correction act,Public
rocky mountain national park boundary modification act,Public
carbon reduction tax credit act,Public
family medical leave modernization act,Public
public housing resident protection act,Public
fairness landowner face eminent domain act,Public
prevent interruption physical therapy act,Public
sandy duplication benefit fairness act,Public
designate facility united state postal service locate east genesse street fayetteville new york george h bacel post office building,Public
cleaner quieter airplane act,Public
road user charge advancement act,Public
safe sex worker study act,Public
amend title united state code authorize secretary veteran affair provide certain veteran nonarticulating trailer furnish adaptive equipment veteran,Public
improve social security service victim identity theft act,Public
critical infrastructure act,Public
low insulin cost act,Public
isaiah baker margie harris austin act,Public
low price patient act,Public
repeal funding authorization sunset total funding cap essex national heritage area,Public
remember life kyle poteat act,Public
law enforcement officer safety expansion act,Public
end valley fever act,Public
boost america export act,Public
amend agriculture improvement act respect enforcement animal fight venture prohibition territory purpose,Public
american public land water climate solution act,Public
rpm act,Public
transparency executive branch official finance act,Public
medical education diverse america act,Public
faa family medical leave act,Public
united state mexico canada agreement implementation act,Public
senior care act,Public
grid modernization research development act,Public
promote aviation regulation technical training partt act,Public
require secretary transportation conduct study unsafe use electric scooter purpose,Public
student protection act,Public
protect broadband funding act,Public
aircraft noise reduction act,Public
modernize agricultural manufacturing bond act,Public
sift act,Public
pullman national historical park act,Public
gig act,Public
empower nonprofit act,Public
significant transnational criminal organization designation act,Public
national climate bank act,Public
expand food safety investigation act,Public
allergy act,Public
small passenger vessel safety act,Public
travel tourism act,Public
increase access mental health act,Public
interstate milk freedom act,Public
incentivizing new valuable energy storage technology invest act,Public
ukraine religious freedom support act,Public
lift first responder act,Public
provide grant owner grandfamily housing purpose,Public
southwest tourism expansion act,Public
census resource act,Public
courthouse dog act,Public
protect america life save medicine act,Public
safety sale act,Public
national biomedical research act,Public
locality pay equity act,Public
combat online wildlife traffic act,Public
rural education investment act,Public
fisa improvement act,Public
back blue act,Public
strengthen state local cybersecurity defense act,Public
affordable american make automobile act,Public
social security enhancement protection act,Public
whera act,Public
regional ocean partnership act,Public
payment integrity information act,Public
provide secretary education may issue enforce certain rule weaken enforcement prohibition sex discrimination applicable title ix education amendment,Public
prevent spread nuclear weapon act,Public
promote well patient data security act,Public
amend omnibus crime control safe street act authorize attorney general make grant state unit local government deploy implement gunfire detection location technology purpose,Public
designate facility united state postal service locate crosby street mansfield louisiana dr c simpkins sr post office,Public
new way forward act,Public
create mechanism whereby insulin manufacturer may sell directly consumer current net price,Public
international pharmaceutical transparency act,Public
senior guardianship social security protection act,Public
united state commission international religious freedom reauthorization act,Public
second lieutenant richard w collins iii memorial act,Public
restore tax fairness state locality act,Public
end child exploitation act,Public
e cooper brown ocean clean energy act,Public
advanced geothermal research development act,Public
united state anti dope agency reauthorization act,Public
safety net health plan employee student loan forgiveness fairness act,Public
local task force st century police act,Public
require general service administration remove deed restriction property locate prescott arizona purpose,Public
support mexico corruption act,Public
faster access federal student aid act,Public
stop exploit child act,Public
chesapeake bay oyster research act,Public
license transfer modernization act,Public
end price gouge insulin act,Public
future act,Public
spittlebug act,Public
safe drinking water assistance act,Public
closing racial wealth gap act,Public
debt act,Public
amend title united state code expand definition institution purpose acquisition preservation exchange identification record information purpose,Public
innovation network capital act,Public
federal lab modernization act,Public
stop climate censorship act,Public
green street act,Public
arm force digital advantage act,Public
support america teacher act,Public
short sea shipping act,Public
diversify act,Public
protect snap act,Public
small business innovation voucher act,Public
disadvantage community drinking water assistance act,Public
jakelin caal death custody reporting act,Public
innocent party protection act,Public
prevent act,Public
hazel johnson memorial stamp act,Public
support america first responder act,Public
discourage frivolous lawsuit act,Public
hazel johnson congressional gold medal act,Public
freedom invest tomorrow workforce act,Public
global hope act,Public
disaster assistance equity act,Public
investor choice act,Public
american energy opportunity act,Public
funding road ecosystem sustainably together act,Public
ensure patient access critical breakthrough product act,Public
protect credit score act,Public
fairness act,Public
consumer protection medical debt collection act,Public
freedom government competition act,Public
federal funding accountability sexual harasser act,Public
resolve extend limbo immigrant employee family act,Public
fairness nursing home arbitration act,Public
end pushout act,Public
sergeant daniel somers veteran network support act,Public
tribal elder care improvement act,Public
ensure diversity community banking act,Public
public health infrastructure modernization act,Public
citizen right know act,Public
native american housing assistance self determination reauthorization act,Public
bank merger review modernization act,Public
designate facility united state postal service locate addicks howell road houston texas deputy sandeep singh dhaliwal post office building,Public
move water act,Public
expand opportunity mdi act,Public
support veteran effective apprenticeship act,Public
multifamily depreciation parity act,Public
aim high act,Public
forestry renewal act,Public
frame act,Public
crown act,Public
expand access school meal act,Public
designate facility united state postal service locate nicol avenue thomasville alabama postmaster robert ingram sr post office,Public
know social security act,Public
kentucky wildlands national heritage area study act,Public
pbm transparency prescription drug cost act,Public
california central coast conservation act,Public
western water recycle drought relief act,Public
amend title united state code permit certain individual comply state law posse firearm,Public
enhance financial stability research oversight act,Public
stamp lyme disease act,Public
eviction prevention act,Public
contract act,Public
advance support work family act,Public
national institute research safety quality act,Public
student borrower protection act,Public
universal charitable give act,Public
fly together act,Public
fair index health care affordability act,Public
district columbia return citizen coordination act,Public
home defense competitive shoot act,Public
upper mississippi river flood control act,Public
fair student loan debt collection practice act,Public
amend elementary secondary education act establish grant program support effort state level establish anti bullying task force study address reduce bullying elementary secondary school purpose,Public
training realtime writer act,Public
vet outreach act,Public
school meal act,Public
military family parole place act,Public
drug price transparency medicaid act,Public
native american business outreach act,Public
cosmetic safety enhancement act,Public
gi bill planning act,Public
amend section title united state code exempt certain interest mutual fund unit investment trust employee benefit plan retirement plan conflict interest limitation government publishing office,Public
iraq human right accountability act,Public
keep william j hughes technical center fund fy act,Public
pay coast guard act,Public
secure america port act,Public
seed act,Public
wrcr act,Public
guidance clarity act,Public
unclaimed saving bond act,Public
steal heritage prevention act,Public
international violence woman act,Public
urban agriculture healthy food entrepreneur act,Public
holocaust insurance accountability act,Public
time act,Public
stop grinch bot act,Public
medicare orthotics prosthetics patient center care act,Public
raise act,Public
proswift act,Public
preserve family farm act,Public
bonus blackout act,Public
telehealth expansion act,Public
freezer truck act,Public
tod act,Public
diabetic vision loss blindness prevention act,Public
st century youth entrepreneurship act,Public
amend internal revenue code repeal opportunity zone,Public
improve community safety task force act,Public
veteran back work act,Public
support healthy mother infant act,Public
harlem hellfighters congressional gold medal act,Public
sub act,Public
reduce act,Public
shield veteran act,Public
home act,Public
closing homework gap mobile hotspot act,Public
opioid settlement accountability act,Public
protect student worthless degree act,Public
amend internal revenue code make look thru rule related control foreign corporation permanent,Public
prescription drug price reporting act,Public
brst act,Public
purple heart flag act,Public
youth workforce readiness act,Public
amend food nutrition act require state include photograph electronic benefit card issue provide supplemental nutrition assistance program benefit,Public
motorcyclist advisory council reauthorization act,Public
extend act,Public
road recovery act,Public
transportation alternative enhancement act,Public
elijah e cummings family asthma act,Public
luke alex school safety act,Public
direct comptroller general united state conduct study submit report federal government ability hire retain chinese language capable employee purpose,Public
technology criminal justice act,Public
funding deadline enforcement act,Public
power act,Public
increase health coverage hras act,Public
grow affordable housing act,Public
help student parent succeed act,Public
clean economy act,Public
fast tracked executive rescission review appropriation act,Public
ask musician music act,Public
proven forest management act,Public
wow act,Public
quality care nursing home resident act,Public
brownfields redevelopment tax incentive reauthorization act,Public
representative payee fraud prevention act,Public
nasa enhance use lease extension act,Public
accountable care rural america act,Public
sustainable budget act,Public
refugee protection act,Public
raise bar act,Public
authorize president award medal honor major brian r chontosh united state marine corp retire act valor march,Public
end migrant protection protocol act,Public
empower individual succeed education workforce training act,Public
fair warn act,Public
student mental health right act,Public
promote rural export act,Public
protect critical service mother baby act,Public
telemental health expansion act,Public
psa screen act,Public
echo act,Public
patient right know medication act,Public
manage stablecoins security act,Public
save life act,Public
fair fee act,Public
climate change financial risk act,Public
buy america drinking water extension act,Public
know go emergency act,Public
runaway homeless youth traffic prevention act,Public
star act,Public
baby act,Public
export clean energy act,Public
housing infrastructure act,Public
stop give big oil free money act,Public
green new deal public housing act,Public
heals act,Public
breastfeeding mother jury duty exclusion act,Public
prohibit department defense deploy strategic asset united state republic turkey,Public
amend omnibus crime control safe street act authorize attorney general make grant state unit local government deploy implement gunfire detection location technology purpose,Public
protect consumer market manipulation act,Public
tribal wildlife corridor act,Public
raft act,Public
homeless youth menstrual product access act,Public
climate resiliency service corp act,Public
pipeline safety improvement act,Public
state sponsor visa pilot program act,Public
authorize national medal honor museum foundation establish commemorative work district columbia environs purpose,Public
nopain act,Public
reauthorization national advisory committee institutional quality integrity act,Public
safe sky act,Public
tricare fairness national guard reserve retiree act,Public
pricing greenhouse gas report act,Public
core justice act,Public
mechanical insulation installation incentive act,Public
innovative energy manufacturing act,Public
ev charge act,Public
green bus tax credit act,Public
green van act,Public
affordable ev work family act,Public
energy efficient commercial building act,Public
empower homeowner energy efficiency act,Public
promote sustainable energy project tribal community act,Public
renewable energy investment act,Public
carbon capture sequestration extension act,Public
waste heat power investment tax credit act,Public
geo act,Public
indian buffalo management act,Public
transportation equity act,Public
honor oath act,Public
transparency government act,Public
open sky treaty stability act,Public
high education standard improvement act,Public
worker choice act,Public
unlock opportunity small business act,Public
promote woman trucking workforce act,Public
insurance accountability transparency act,Public
open act,Public
green energy federal building act,Public
humane cosmetic act,Public
satellite television community protection promotion act,Public
stop sexual assault harassment transportation act,Public
protect social worker health professional workplace violence act,Public
amend title united state code modify treatment certain bargain price option purchase less fair market value purpose,Public
aeronautics innovation act,Public
housing homeless veteran act,Public
military care package program act,Public
affordable prescription patient promote competition act,Public
gun violence prevention financial intelligence act,Public
stop pad presidential pocket act,Public
capture small business act,Public
ban corporate pac act,Public
saudi fugitive declassification act,Public
refuge cruel trap act,Public
descend act,Public
american security drone act,Public
southern new england regional commission act,Public
designate facility united state postal service locate east main street galesburg illinois senior airman daniel miller post office building,Public
farm act,Public
healthcare cost transparency act,Public
safer pipeline act,Public
safe aircraft maintenance standard act,Public
promote service transportation act,Public
rock act,Public
corporate governance reform transparency act,Public
recover act,Public
stop eitc ctc seizure act,Public
greener fuel act,Public
leave act,Public
notify act,Public
apprise act,Public
f air act,Public
shhh act,Public
snore act,Public
rest act,Public
respect act,Public
respect graduate student worker act,Public
rural hospital frontier workforce fairness act,Public
coastal resilience research education act,Public
superfund polluter pay act,Public
drip act,Public
federal employee recruitment retention plan act,Public
brave act,Public
total recall act,Public
cruise passenger protection act,Public
endanger specie accountability reform act,Public
ensure access west los angeles veteran affair easement fund act,Public
west los angeles va campus improvement act,Public
counsel career choice act,Public
wildfire defense act,Public
move act,Public
alternative fuel tax credit extension act,Public
reinforce american make product act,Public
private prison information act,Public
terminate certain waiver sanction respect iran issue connection joint comprehensive plan action purpose,Public
budget process enhancement act,Public
improve corporate governance diversity act,Public
debt ceiling alternative act,Public
gigabit opportunity act,Public
k hero act,Public
hope victim human traffic act,Public
national historic vehicle register act,Public
prison proprietorship act,Public
real protection act,Public
protect senior immunization act,Public
fair leave act,Public
vet eta,Public
society uplift worker act,Public
society place prosper act,Public
society embrace act,Public
society mercy entry act,Public
recognize poverty act,Public
woman work home front world war ii memorial act,Public
team act,Public
tax excessive ceo pay act,Public
prison proprietorship formerly incarcerate act,Public
animal disease surveillance detection act,Public
u israel anti killer drone act,Public
designate facility united state postal service locate conroy windermere road windermere florida officer robert german post office building,Public
designate facility united state postal service locate main street slatersville rhode island specialist matthew r turcotte post office,Public
medical retiree pay restoration act,Public
amend robert stafford disaster relief emergency assistance act provide authority reimburse local government interest expense purpose,Public
relief alirio palacios gamez hilda veronica ramirez mendez jayro ivan juarez ramirez,Public
pas technical correction act,Public
modern gi bill act,Public
homebuyer protection act,Public
u navy seal scpo tyrone snowden wood ceremony invitee act,Public
justice juvenile act,Public
wave act,Public
accountability world bank loan china act,Public
veteran consumer fair credit act,Public
wise government act,Public
fairness local veteran cemetery act,Public
gsa lease transparency act,Public
global war terrorism memorial location act,Public
veteran employment child care access act,Public
world war ii pacific war hero congressional gold medal act,Public
millionaire surtax act,Public
opportunity zone reform act,Public
family violence prevention service improvement act,Public
air safety act,Public
life sustain prescription drug price relief act,Public
farm workforce modernization act,Public
designate facility united state postal service locate north main street farmville north carolina walter b jones jr post office,Public
put patient first act,Public
television viewer protection act,Public
fair debt collection improvement act,Public
full choice veteran act,Public
rural veteran act,Public
medical innovation act,Public
va suicide prevention service accountability act,Public
va suicide prevention service act,Public
protect benefit disabled veteran act,Public
amend title united state code direct secretary veteran affair furnish free comprehensive mental health care former member arm service purpose,Public
survivor bill right state act,Public
